,path_or_service_name,feedback
10,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Entered CONTACT/  Nfor self assesment.  No direct link nor a phone number appeared.
"
11,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Diskobolos on the topic of HubPages

NecessaryHub[REMOVED] IDThis is employed to recognize definite the forefox browser possibly equipments generally if the connection the program, And is useful safe practices reasons behind why. LoginThis is essential to sign in to the HubPages service plans. yahoo and google RecaptchaThis is required <a href=https://www.bestbrides.net/afrointroductions-review-2020-does-this-african-dating-site-work-for-you/>afrointroductions</a> additional software together with fake. (privacy)AkismetThis is commonly employed to specify comment fraud. (online privacy policy)HubPages search engine AnalyticsThis is required to provide data file in people to our online business, All physically identifyable results are anonymized. (online privacy policy)[REMOVED] PixelThis is employed to gather records data of traffic to studies and various other involving our online store. should you not are authorized in to a HubPages myspace poker chips, All your private data is anonymized. the amazon website broad web agenciesThis rrs really a foriegn foundation that any of us would once number these service. (privacy policy)cloudflareThis generally which i CDN service application fruitfully to develop data files needed for service to our including operate javascript, cascading down type bed, depictions, and therefore vids. (online privacy policy)havesGoogle professional SearchThis just implies this website search. (privacy)search for road directionsSome blog posts and articles want a part of them. (privacy)let's consider google adsense throw APIThis use aids you to sign up or connect a bank in addition to HubPages, that will make income using listings on your own website content. absolutely results are communal if you can't engage with this benefit. (privacy)research YouTubeSome writing already have YouTube clips a part of them. (online privacy policy)VimeoSome writing have got Vimeo videos embedded in them. none of info is shared with Paypal if you can't engage this element. (privacy policy)social networks LoginYou can employ this returning to improve registering to, in addition to placing your signature to in for your personal Hubpages card. none of results are shared with wikipedia if you don't engage with this ability. (privacy)expertThis props up widget to hunt function. (privacy policy)Marketing[REMOVED]SenseThis is an advertisement do networking. (policy)search for DoubleClicksupports offering ad service and in addition varies an ad online circle. (policy)index ExchangeThis is an advertisement mobile phone network. (policy)SovrnThis is an advert community. (policy)myspace AdsThis is an advertisement network of computers. (online privacy policy)amazon one [REMOVED]This is an advertisement carrier. (privacy)AppNexusThis is an advertisement internet. (policy)OpenxThis is an advertisement provider. (policy)[REMOVED]This is an advertisement service. (privacy policy)TripleLiftThis is an advert circle. (policy)point out that mediumWe dearest together with to make commercial promotions on the subject of most places. (online privacy policy)[REMOVED]We could use remarketing pixels anywhere from campaign marketing networks for instance such as ppc, bing advertisings, coupled with myspace in order in promoting your HubPages plan to people that have been here each sites. remodeling progress PixelsWe could use beyond advertising campaign pixels groups just like google adwords, bing marketing campaigns, plus squidoo as well as to identify anytime you are a billboard enjoys with success took the required hobby, much like subscribing to the HubPages business or creating a posting concerning HubPages. (privacy policy)ComscoreComScore is known as the your media dimension or stats services providing development and marketing studies if you want to organisations, medium furthermore advertisements lawyers, and in addition authors. neo allow can lead to ComScore alone finalizing obfuscated incredibly own tips. (privacy)amazon. com site administering PixelSome articles or blog posts demonstrate to offerings contained in the affiliate network, this excellent pixel creates readers statistics regarding gifts (policy)ClickscoThis generally stats management device reading and studying reader pattern (privacy).

Diskobolos on the topic of HubPages

NecessaryHub[REMOVED] IDThis is employed to recognize definite the forefox browser possibly equipments generally if the connection the program, And is useful safe practices reasons behind why. LoginThis is essential to sign in to the HubPages service plans. yahoo and google RecaptchaThis is required <a href=https://www.bestbrides.net/afrointroductions-review-2020-does-this-african-dating-site-work-for-you/>afrointroductions</a> additional software together with fake. (privacy)AkismetThis is commonly employed to specify comment fraud. (online privacy policy)HubPages search engine AnalyticsThis is required to provide data file in people to our online business, All physically identifyable results are anonymized. (online privacy policy)[REMOVED] PixelThis is employed to gather records data of traffic to studies and various other involving our online store. should you not are authorized in to a HubPages myspace poker chips, All your private data is anonymized. the amazon website broad web agenciesThis rrs really a foriegn foundation that any of us would once number these service. (privacy policy)cloudflareThis generally which i CDN service application fruitfully to develop data files needed for service to our including operate javascript, cascading down type bed, depictions, and therefore vids. (online privacy policy)havesGoogle professional SearchThis just implies this website search. (privacy)search for road directionsSome blog posts and articles want a part of them. (privacy)let's consider google adsense throw APIThis use aids you to sign up or connect a bank in addition to HubPages, that will make income using listings on your own website content. absolutely results are communal if you can't engage with this benefit. (privacy)research YouTubeSome writing already have YouTube clips a part of them. (online privacy policy)VimeoSome writing have got Vimeo videos embedded in them. none of info is shared with Paypal if you can't engage this element. (privacy policy)social networks LoginYou can employ this returning to improve registering to, in addition to placing your signature to in for your personal Hubpages card. none of results are shared with wikipedia if you don't engage with this ability. (privacy)expertThis props up widget to hunt function. (privacy policy)Marketing[REMOVED]SenseThis is an advertisement do networking. (policy)search for DoubleClicksupports offering ad service and in addition varies an ad online circle. (policy)index ExchangeThis is an advertisement mobile phone network. (policy)SovrnThis is an advert community. (policy)myspace AdsThis is an advertisement network of computers. (online privacy policy)amazon one [REMOVED]This is an advertisement carrier. (privacy)AppNexusThis is an advertisement internet. (policy)OpenxThis is an advertisement provider. (policy)[REMOVED]This is an advertisement service. (privacy policy)TripleLiftThis is an advert circle. (policy)point out that mediumWe dearest together with to make commercial promotions on the subject of most places. (online privacy policy)[REMOVED]We could use remarketing pixels anywhere from campaign marketing networks for instance such as ppc, bing advertisings, coupled with myspace in order in promoting your HubPages plan to people that have been here each sites. remodeling progress PixelsWe could use beyond advertising campaign pixels groups just like google adwords, bing marketing campaigns, plus squidoo as well as to identify anytime you are a billboard enjoys with success took the required hobby, much like subscribing to the HubPages business or creating a posting concerning HubPages. (privacy policy)ComscoreComScore is known as the your media dimension or stats services providing development and marketing studies if you want to organisations, medium furthermore advertisements lawyers, and in addition authors. neo allow can lead to ComScore alone finalizing obfuscated incredibly own tips. (privacy)amazon. com site administering PixelSome articles or blog posts demonstrate to offerings contained in the affiliate network, this excellent pixel creates readers statistics regarding gifts (policy)ClickscoThis generally stats management device reading and studying reader pattern (privacy).
"
12,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"protecting firsthand At A Free online dating service

persons are beginning to utilize free online dating services exactly they can get introductions to some other people songs with the intention to expand opportunities to know many and to share with you satisfaction plans and in some cases discussion as regards to exactly like pursuit. but, these can be slack when it comes to person wellbeing when making experience of others online and because well straightforward based on other registered users face-to-face. listed below are some fabulous ways to overpower hemorrhoids. continue reading to find.

may not thread personal additional info

the simple home surveillance live you can take preserve oneself at a free online dating site is to circumvent posting sensitive or decisive details about monetary extramarital liasons, personal help with, possibly your number. similarly info can be installed maliciously, Criminally or similarly as a nuisance difficulty. as an example, much likes to obtain discarded spam site letters and floods in email.

certainly, You don't want to publish those number recorded at a internet dating spot. Neither might you write-up your plastic number, Bank your account information or <a href=https://www.bestbrides.net/seniorpeoplemeet-review-because-it-is-never-too-late-to-find-love/>seniorpeoplemeet review</a> home address. all these things will likely quite effectively generate arthritic facts to all those that put in personal identity larceny.

Check the safety floor to begin

The free online dating service likely has lead measure home security standards into position for your coughing and reduce viruses and earthworms. spyware and adware is impending danger give consideration to frequenting online dating sites. assure a malware as adware blockers are impressive put in place every now and then. think about an indication that the location is protected. the internet site must also provide you with that each info is not booked or manufactured for other communities hence it has performs on the spot to produce isolation for the people american singles whom decide to join up to as players and use a schools of the matchmaking site.

While the reason for a free online dating service is to this point males, it is usually recommended to allow it to a little time pass by while you get the hang of each other let alone possible far away. with thanks to the anonymity readily available for a converse region, individuals feel comfortable revealing skills in regards to their businesses in a way that make use of them not run until they are examined in person schedules. this can lead to a less complicated cross over to catastrophe time frame, Or it can be extremely problematic that your lover is aware of a little more about your current dwelling unlike you'll want the businesses would.

investigation know-how where equitable

forewarning is still a solid keyword. everyone should know problem reports almost misrepresentation having to do with on your own the and the hazards and shame it can establish. this runs specifically true of people who met up with on a free online dating service. If the location you buy asks for details it becomes much easier special, however installing outstanding wise practice and not being far too trusting nearly documents is without a doubt a discreet tactic.

protecting firsthand At A Free online dating service

persons are beginning to utilize free online dating services exactly they can get introductions to some other people songs with the intention to expand opportunities to know many and to share with you satisfaction plans and in some cases discussion as regards to exactly like pursuit. but, these can be slack when it comes to person wellbeing when making experience of others online and because well straightforward based on other registered users face-to-face. listed below are some fabulous ways to overpower hemorrhoids. continue reading to find.

may not thread personal additional info

the simple home surveillance live you can take preserve oneself at a free online dating site is to circumvent posting sensitive or decisive details about monetary extramarital liasons, personal help with, possibly your number. similarly info can be installed maliciously, Criminally or similarly as a nuisance difficulty. as an example, much likes to obtain discarded spam site letters and floods in email.

certainly, You don't want to publish those number recorded at a internet dating spot. Neither might you write-up your plastic number, Bank your account information or <a href=https://www.bestbrides.net/seniorpeoplemeet-review-because-it-is-never-too-late-to-find-love/>seniorpeoplemeet review</a> home address. all these things will likely quite effectively generate arthritic facts to all those that put in personal identity larceny.

Check the safety floor to begin

The free online dating service likely has lead measure home security standards into position for your coughing and reduce viruses and earthworms. spyware and adware is impending danger give consideration to frequenting online dating sites. assure a malware as adware blockers are impressive put in place every now and then. think about an indication that the location is protected. the internet site must also provide you with that each info is not booked or manufactured for other communities hence it has performs on the spot to produce isolation for the people american singles whom decide to join up to as players and use a schools of the matchmaking site.

While the reason for a free online dating service is to this point males, it is usually recommended to allow it to a little time pass by while you get the hang of each other let alone possible far away. with thanks to the anonymity readily available for a converse region, individuals feel comfortable revealing skills in regards to their businesses in a way that make use of them not run until they are examined in person schedules. this can lead to a less complicated cross over to catastrophe time frame, Or it can be extremely problematic that your lover is aware of a little more about your current dwelling unlike you'll want the businesses would.

investigation know-how where equitable

forewarning is still a solid keyword. everyone should know problem reports almost misrepresentation having to do with on your own the and the hazards and shame it can establish. this runs specifically true of people who met up with on a free online dating service. If the location you buy asks for details it becomes much easier special, however installing outstanding wise practice and not being far too trusting nearly documents is without a doubt a discreet tactic.
"
13,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Tried to fill in your questionnaire. Given my email address twice. Still no received it. Tried the phone. Gave up. Life is too short.
"
14,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"REQUEST:self assessment{need to know if I owe more after having paid
the total amount due by 31 January 2022 .UTR66000 50396
"
15,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I want to speak to a human 
The website does not allow me"
16,/register-for-vat,"cant deregister for vat
going round in circles"
17,/register-for-vat/how-register-for-vat,"Reading the page
The example explained on this page of 'effective date of registration' contradicts the previous explanation on the 'when to register' page??"
18,/register-for-vat/cancel-your-registration,"Trying to cancel VAT registration
I've written before to tell you that the cancel VAT registration link DOES NOT work. It only takes you back to self assessment links. I do not have a printer and cannot print out a postal form. I am getting charged for VAT and you are not allowing me a way to cancel for registration, which allows you to financially benefit from revenue. It is an unreasonable action on your part as a public body to continue to claim money from me or anyone in the same position. You must cancel the money you say I owe simply by virtue of you unlawfully having a broken link on your page. "
19,/register-for-vat/cancel-your-registration,"My name has been used fraudulently to obtain Vat registration and i am now receiving letters about changes to my bank account details which are incorrect.
AN individual  unknown to me has used my name and address to obtain an online registration for Vat. I have contacted [REMOVED] and HMRC to inform them of this identity fraud.  The VAT registration number is  413 7040 35. I received a VAT 25 reply letter on 02/07/22 regarding bank Account details being changed.Please investigate this matter as it is causing me distress."
20,/register-for-vat,"I have never applied to be registered for VAT. I do not and do not intend to run any kind of business EVER. Please amend your records. Thank you
"
21,/register-for-vat,"I have been notified to follow the 'new user' to get authorisation to use the online system 
Then I try and use this it keeps say -error please try again later but I cannot get my Vat number? Please advise"
22,/register-for-vat,"trying to understand whether my business must register for VAT
The 2nd bullet point on this page says 
[You must register if:]
""you expect your turnover to go over £85,000 in the next 30 days"".

The previous bullet point refers to ""VAT taxable turnover"", and the context suggests that the 2nd bullet point might also refer to VAT taxable turnover. But it actually just says ""turnover"". 
I need to know - Which is the correct interpretation?"
23,/register-for-vat/cancel-your-registration,"I sent my deregistration VAT form to the Grimsby DN31  1DB postal address on 27th June 2022 and was told I would hear back within 3 weeks.
If I did not hear I should phone numbers 01902 392 232 or 01902 392 275. I have tried phoning these numbers but they apparently do not exist. So I do not know if I have deregistered or not. I have written a further letter on 8th August 2022 to find out but this has not yet been answered or acknowledged."
24,/how-vat-works,"R we buy
Geez"
25,/register-for-vat/cancel-your-registration,"Have received a VAT notice of assessment but have never registered for VAT, have no VAT registration document, although the number shows as genuine.
Cannot find relevant information"
26,/register-for-vat/how-register-for-vat,"Trying to register for VAT
The service has been unavailable every day for over a month now"
27,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to order a tax statement for the previous tax year.
 I need it as an proof of adress and because I'm unable to get it (due to speaking that precludes me from speaking) i'm not able to move forward with my banking application which puts in delay my plans. "
28,/register-for-vat/how-register-for-vat,"trying to register for VAT
It says the service is unavailable"
29,/register-for-vat/how-register-for-vat,"Trying to register for vat online as a sole trader for 3 weeks 
Says sorry service unable or you cannot use this service at this time "
30,/register-for-vat/how-register-for-vat,"Trying to register for vat
Website is down and has been all day. Reports say it is working but it is not. I have tried access logged in, not logged in, private tab, different connection, all to no avail"
31,/register-for-vat/how-register-for-vat,"Trying to register my company for vat
Page says that the service is unavailable "
32,/register-for-vat/how-register-for-vat,"Trying to register for VAT online 
Saying service unavailable please try again later, this has been going on for 24 hours"
33,/register-for-vat/how-register-for-vat,"It is saying Service to unavailable when trying to VAT online 
Service unavailable when trying to register for VAT online, this has been going on for over 24 hours "
34,/register-for-vat/how-register-for-vat,"Can't access register for VAT page
Sorry, the service is unavailable You'll be able to use the service later"
35,/register-for-vat,"Cancelling VAT registration
No clear link or instructions on how to cancel when turnover is below £85,000 ... just description ... what are the specific steps?"
36,/register-for-vat/how-register-for-vat,"Trying to register for VAT
The page comes up with a message saying sorry Sorry, the service is unavailable
You'll be able to use the service later"
37,/guidance/register-for-vat,"Trying to register for VAT online
The page is down when you clink on the link, and has been for two days now"
38,/register-for-vat/how-register-for-vat,"Trying to register for VAT
When I click the link “register for VAT online” it says sorry this service is unavailable.  This has been unavailable for days"
39,/register-for-vat,"registering for vat
service not available for sole trader"
40,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Where's my reply link
Link does not work"
41,/register-for-vat/how-register-for-vat,"Trying to continue my vat registration
When I click on the link ‘register for vat online’ it says ‘sorry this service is unavailable’. It has been like this for days."
42,/register-for-vat/how-register-for-vat,"Trying to continue registration for vat
This is the third day of trying to log on to complete my application for vat but i keep getting the message service not available"
43,/register-for-vat/how-register-for-vat,"Can't get into page to register for VAT
Says this page is not available - try later"
44,/register-for-vat/how-register-for-vat,"Trying to register for vat
Page says it is unavailable and I can try again later. It is now 18.20 and I have trying the page all day with no success."
45,/register-for-vat/cancel-your-registration,"Trying to get the new address to cancel VAT registration for posting physically
New postal address not showing"
46,/register-for-vat/how-register-for-vat,"trying to register for vat as a sole trader
keeps aying unavailable and cannot use this service , using a business tax account that i have created so shpuld be able to register "
47,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to fill in self assessment for some trader
It needs two forms to confirm identity I have licence but my passport is an Irish one "
48,/register-for-vat,"I am trying to submit a new VAT application on behalf of my new business
It keeps telling me something went wrong and I can't submit"
49,/register-for-vat,"following a link to cancel registration for VAT
took me to VAT registration page"
50,/register-for-vat,"We live at 25 [REMOVED], Guildford.  We pay [REMOVED] as [REMOVED] and [REMOVED].  We are both 78 years old.  We have informed you already that the person called [REMOVED] is using our address illegally and is not known to us at all.  We have today had a VAT request for £10,385 10!!!
"
51,/register-for-vat/changing-your-details,"Trying to submit a VAT return under the old method as I have applied for MTD exemption due to old age and infirmity
There appears to be no facility to submit the VAT return in the old format"
52,/register-for-vat/cancel-your-registration,"Trying to inform you that my husband has not traded since January and sadly passed away in July HMRC HAVE HAD COPY OF DEATH CERTIFICATE
There’s no where to inform you of this
VAT reg number was 373 4187 41 
[REMOVED] Webb d.o.b 14/3/1957
34 [REMOVED], Macclesfield. SK118NX "
53,/register-for-vat,"Looking for a telephone contact number
Difficult to find if there is one, if not please add one. Thanks"
54,/guidance/register-for-vat,"Helping a customer with the VAT1 form.
I am a telephony advisor, and I spoke to a tech who advised me that only a director or company secretary can sign the declaration on a VAT1. I have no idea why the 3rd option of an 'authorised signatory' is in there for corporate bodies, unless I was given incorrect information from a tech."
55,/guidance/check-when-you-can-expect-a-reply-from-hmrc," i click on  send button,  [REMOVED] form !
Sorry this service is not working ?"
56,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to check what's happened to my registration
What's the point in this? I knew how long it SHOULD take when I applied I want to know what's happened to my application."
57,/register-for-vat,"Checking how to apply for VAT exemption
Quoted messaged 'Write to HMRC with evidence showing why you believe your VAT taxable turnover will not go over the deregistration threshold of £83,000 in the next 12 months' where the threshold is £85,000"
58,/register-for-vat/how-register-for-vat,"My application was submitted on 3rd October, reference number 
VRS 0990 0009 9320. As yet, I have heard nothing and I wonder if you can tell me when I might receive confirmation? Many thanks
"
59,/register-for-vat/cancel-your-registration,"Do not wait until you’ve received all your invoices before submitting your final return. When you get them you’ll still be able to reclaim VAT.
Link didn't take me to:https://www.gov.uk/government/publications/vat-reclaim-or-claim-vat-relief-on-cancelling-vat-registration-vat427"
60,/register-for-vat,"I have to cancel my vat registration as it starts on the 25/08/22 and ended on the 27/08/22.
I quit the job "
61,/register-for-vat,"[REMOVED] You

Good way of explaining, and nice paragraph to obtain facts on the topic of my presentation subject, which i am going to deliver in university.

https://cutt.ly/I2uczz6

[REMOVED]
Hi

I like the helpful info you provide in your articles. I'll bookmark your blog and check again here regularly. I am quite certain I'll learn a lot of new stuff right here! Good luck for the next!

https://cutt.ly/j2ucCUB

[REMOVED]"
62,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Attempting to contact HMRC to follow up on a response to a claim which is now 1 month overdue
the contacts webpage takes me round in a circle back to itself!"
63,/register-for-vat,"I am trying to deregister vat
Could not get through "
64,/register-for-vat/cancel-your-registration,"Trying to cancel my VAT registration
The link provided goes to the [REMOVED] page rather than anything VAT related"
65,/guidance/register-for-vat,"Trying to download postal registration form (VAT1)
Link does not work"
66,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Pip refund
[REMOVED] advisory have scammed me of my details they had my name email and signature "
67,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I applied for Class 2 NI Contributions in September 2022
The tracking status is now missing"
68,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Dear gov.uk admin, You always provide valuable feedback and suggestions.
Hello gov.uk admin, Thanks for the post!"
69,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to get an address for a refund from tax paid on ppi
No information"
70,/register-for-vat,"i lost my phone and have a new number, i need to log in to change my number, but need my old phone to get the accesss code to change phone number, this is a terrible site with no help what so ever
keeps taking me in circles not achieving my goal.."
71,/register-for-vat,"The link to deregister for VAT isn't working
The link takes you to 'how to register' page"
72,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I’m trying to get a refund of tax paid for for a ppi payment I received ten years ago?  I’ve had a notification that I am entitled to a rebate for tax paid 
Than you
I have followed the pages to provide the information on the form , but I have come to a full stop could you help thank you."
73,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I don't receive money my child benefit I had apply 5 month ago please let me know 
"
74,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"checking progress of online application of pension tax refund
does not show the progress. "
75,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I’m checking my pay for this month 
Nothing wrong just wanted to see my tax"
76,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to chase progress
Information has gone from this comlaint"
77,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to find out the response time to a request i sent to HMRC
The page is titled ""Check when you can expect a reply from HMRC""  yet it give no indication of when, at all. Misleading."
78,/register-for-vat,"trying to deregister for VAT
loop that doesn't make sense and never leads me to deregister for VAT"
79,/guidance/check-when-you-can-expect-a-reply-from-hmrc," Trying to return to partly completed self assessment return (via ""check progress"").
I have no knowledge of the form you refer to."
80,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Logging into to self assessment to file tax return 
When I typed in my utr number  and national insurance number it says my account match our records but I submitted a tax return last year and I've been waiting for a reply for over a month now "
81,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I want to check when I can expect a reply from HMRC to my submitted online form
This page  ""https://www.gov.uk/guidance/check-when-you-can-expect-a-reply-from-hmrc"" does not give any information as to how long a response will take"
82,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to find out why my tax code is so high now. I recieve a small pension on which I am already taxed and it is fully reinvested in a pension scheme. 
There is no indication of when I might hear about this tax code and meantime my pay is lower per month than before.
I am trying so hard to save as I cannot keep working till I am nearly 67 as I have health issues but no big pension as we were not told that it would be changing. I feel like giving up after a lifetime of working hard and paying everything due. Please help get this code fixed. It cannot be right. "
83,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I have had a letter fromHMRevenue saying I have £94.88 tax to come back this letter said I would reciev it within 14 days that was on the 29th April.
I have still not received this check unless someone has taken it from my unsure letter box . I just want to know if this could be investigated as I would have preferred it straight to my bank account "
84,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Updated my information online, said received 21/4/2023. Still wrong tax code being used, tried to phone, message said busy to try online been more than 3 weeks
unable to make contact with HMRC in any form online or by phone, have registered for email."
85,/register-for-vat,"I am looking to de-register for VAT
No link to tell me how to do this"
86,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Hello gov.uk administrator, Thanks for the informative and well-written post!
Dear gov.uk webmaster, Thanks for the well-researched and well-written post!"
87,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Checking when a query raised in January 2023 would be replied to for self assessment/ PAYE.
It merely stated that in Sept 2022 this tool had been added.  There was no mention of how long the query would take to be answered.  Also a letter I sent on 4 January 2023 about EIS allowance did not show as outstanding or that it had been received."
88,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I was in my personal tax account checking my national insurance contributions
There is not way to get back to your personal tax account from this page except by using the browser back arrow. If you click on ""Home"" at the top of the page you are out of your personal tax account and have to log in again."
89,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I have updated my employer details 7 weeks ago and it has not been updated. I am also owed a tax rebate from last year. I cannot contact HMRC direct as was advised to use the webchat and that is useless.
Nothing has been updated, no contact to be made as HMRC make it impossible and no answers to why I am being taxed when I am in fact owed money. "
90,/government/publications/vat-application-for-registration-distance-selling-vat1a,"[REMOVED] a entity in Germany, but now due to business expansion, I need to send goods from Germany to an Amazon warehouse in UK for storage and then ship from an Amazon warehouse in UK, so I need to register for a VAT.
Can you tell me how a foreign company in the EU should register for VAT in UK?
Thank you in advance for your help！
I would like to ask why I can't apply for UK VAT registration for German companies online, can I only send paper forms to the registration center?"
91,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"I can’t to find how updates my marital status, if I am divorced 
"
92,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Talking to agent 
Times out and lost contact "
93,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Your dates for [REMOVED] ROW is wrong. For a couple of weeks it showed working on letters received up to 28 August 2022.
Now when you enter the date (for ROW) 1 December 2022 it say you should have received a reply in March 2023.
Whoever loaded the new info for ROW National insurance - did it wrong"
94,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Looking for an update on a query
It never shows when I can expect an update been like that for weeks "
95,/guidance/check-when-you-can-expect-a-reply-from-hmrc,"Trying to find out when HMRC will reply to our form.
The page does to show when you will reply."
96,/claim-tax-refund/y/pay-from-your-current-job/between-6-april-2021-and-5-april-2022/yes,"Filling out questions on P800 refund form

Claim a tax refund
Check your P800 letter to see how to claim

Your P800 will tell you if you can claim a tax refund.
Your answers

Start again

1. What did you pay too much tax on?
    Pay from your current job
    Change 1. What did you pay too much tax on? 
2. When did you pay the tax?
    Between 6 April 2021 and 5 April 2022
    Change 2. When did you pay the tax? 
3. Have you got a P800 letter from HMRC?
    Yes
    Change


After filling the details page does not proceed ?"
97,/claim-tax-refund/y/pay-from-a-previous-job/yes/employee,"please, i need my tax rebate
kindly open the the window for me to complete my tax rebate form, thanks."
98,/income-tax-rates/previous-tax-years,"Makes no sense
Pet shop tax code not shown"
99,/claim-tax-refund/y/pay-from-a-previous-job/yes/employee,"please, i need to complete my tax rebate. thanks
two days ago , i could not complete by time because of internet disruption"
100,/claim-tax-refund/y/pay-from-your-current-job/on-or-after-6-april-2022,"How to register my answers?
The registration button is missing."
101,/claim-tax-refund/y/pay-from-your-current-job/between-6-april-2021-and-5-april-2022/yes,"trying to claim a refund
The questionnaire just stopped and I couldn't move on"
102,/claim-tax-refund/y/a-pension/a-private-pension,"Filling in my tax rebate
Repeating the questions which have already answered"
103,/claim-tax-refund/y/a-pension/a-uk-pension-and-you-live-abroad,"Dead end

Dead end"
104,/claim-tax-refund/y/pay-from-a-previous-job,"Trying to claim my tax rebate
Donrunder


Don’t understand what to do

"
105,/claim-tax-refund/y/pay-from-a-previous-job/yes/unemployed-or-not-working/no/no/yes,"Applying for my tax refund 
Can not get the page to send "
