,csat,origin,comment,removed
43,3,PTA Check Income Tax,"My tax code does not seem th same on my pay slips,",0.0
44,1,PTA PERTAX,Not able to prove identity,0.0
45,2,PTA P800,I had an email to say my tax code has been updated.  I can't see what from and to.,0.0
46,2,PTA PERTAX,You have not yet calculated my tax!  you must have received my forms by now!,0.0
47,2,PTA Check Income Tax,"If you change a tax code, give the historical value as well.",0.0
48,5,PTA PERTAX,The website is easy to follow and gives all the information needed,0.0
49,4,PTA Repayments,a very efficient service,0.0
50,5,PTA P800,Simple and straightforward,0.0
51,5,PTA Check Your State Pension,clear instructions and QR codes to open correct pages,0.0
52,5,PTA PERTAX,Simple and straightforward.,0.0
53,5,PTA Repayments,the whole prosess was very easy.,0.0
54,5,PTA Check Your State Pension,firstly the process of creating a new ID was fantastic.  the navigation on options (pension in this case) is very good and self explanatory,0.0
55,3,PTA Check Your State Pension,"I got the basic information about voluntary contributions, but the key questions is how much to pay in versus how much extra pension. A conversion table would be helpful to see the pension increases when I contribute x years.",0.0
56,4,PTA PERTAX,Clear to find the information I needed,0.0
57,5,PTA Check Your State Pension,All easy to find,0.0
58,5,PTA Check Your State Pension,My friend showed me how to do it.,0.0
59,2,PTA Check Income Tax,I could not find an option to change my tax code.,0.0
60,5,PTA Repayments,Everything went smoothly,0.0
61,5,PTA Check Your State Pension,It was simple and clearly explained.,0.0
62,3,PTA PERTAX,To complicated to sign in,0.0
63,1,PTA Check Income Tax,Had received an advice about revised code notice. Concern having just submitted tax return. It appears that my allowances have gratuitously been divided equally . Creating a problem.,0.0
64,4,PTA Check Income Tax,Because it was easy,0.0
65,5,PTA PERTAX,Easy to use.,0.0
66,5,PTA Check Your State Pension,Fast and flawless,0.0
67,5,PTA PERTAX,Because it was very easy!,0.0
68,5,PTA Marriage Allowance,Very satisfied with ease of use,0.0
69,5,PTA PERTAX,It was easy,0.0
70,5,PTA Repayments,Do not use account often enough to remember my gate way ID takes me ages to find it.  Then I forget my password because I do not use the account and have to reset it.,0.0
71,5,PTA Check Your State Pension,Once I had all documentation I needed to complete transaction it was easy to complete.,0.0
72,2,PTA Check Income Tax,Didnt find info I wanted,0.0
73,4,PTA Check Your State Pension,"Overall very good services, Thank you!",0.0
74,5,PTA Repayments,the service is easy to use online !,0.0
75,5,PTA PERTAX,I needed to alter  my address and I did this easily.,0.0
76,5,PTA Repayments,Simple and clear process,0.0
77,5,PTA Check Your State Pension,Found all information in needed.,0.0
78,5,PTA PERTAX,Have nice day,0.0
79,4,PTA PERTAX,Because is easy to check my income tax,0.0
80,5,PTA PERTAX,Clear and concise instructions are the key. I find the site very easy to use.,0.0
81,2,PTA PERTAX,Couldn't view what I wanted to kept go8ng around in circles,0.0
82,2,PTA PERTAX,Badly designed UI that makes it difficult to find items that need to be attended to !,0.0
83,5,PTA PERTAX,It is very easy,0.0
84,1,PTA PERTAX,Im trying to find out how to get my rebate.,0.0
85,5,PTA PERTAX,The site is straight forward,0.0
86,3,PTA PERTAX,no pathway to refund page,0.0
87,5,PTA PERTAX,So simple and quick to find what I wanted.  Everything in one place which is great,0.0
88,5,PTA Repayments,i had to put my 12 digit reference number in 3 times before it was accepted?,0.0
89,3,PTA Check Your State Pension,I wanted info on changing bank details and wasnt showing,0.0
90,5,PTA PERTAX,"It was a very simple process clearly explained
Thank you",0.0
91,5,PTA Repayments,Instructions were very clear which enabled easy navigation through the process.,0.0
92,2,PTA PERTAX,need to speak to someone,0.0
93,4,PTA PERTAX,Just needed to check my profile,0.0
94,5,PTA PERTAX,Easily understood menu.,0.0
95,5,PTA Repayments,"Simple process, easy to follow instructions",0.0
96,1,PTA PERTAX,I wanted to see a copy of my self- assessment return for the TY 22/23 but it is not clear where it is located in my online account,0.0
97,5,PTA Check Income Tax,Very easy to use.,0.0
98,5,PTA P800,Website generally very intuitive and easy to understand.,0.0
99,5,PTA P800,Easy to reset password if required and not too many steps to get to what I needed. Email notification very useful.,0.0
100,5,PTA Track Your Form,"I found the website very user friendly, comprehensive and straightforward to use, I obtained the information I was looking for quickly.",0.0
101,4,PTA Check Income Tax,Easy access to my Information.,0.0
102,5,PTA Repayments,"Everything was self explanatory. I already have an online account set up, so very quick to complete.",0.0
103,5,PTA PERTAX,easy to do,0.0
104,5,PTA PERTAX,Very easy to submit details,0.0
105,5,PTA PERTAX,"Able to access required information, quickly and easily.",0.0
106,5,PTA P800,"For me no stress and it's not difficult to complete all the security questions,very easy.",0.0
107,5,PTA Repayments,Clear instructions. Simple steps. Straightforward.,0.0
108,5,PTA Check Income Tax,"Little problem finding my tax codes, apart from that all ok",0.0
109,3,PTA Check Your State Pension,Difficult to find the log in page for my account,0.0
110,5,PTA Check Your State Pension,"I'm not techie savvy, but it was very easy to navigate.",0.0
111,5,PTA Check Income Tax,Because it was very easy,0.0
112,5,PTA PERTAX,east to do,0.0
113,4,PTA Track Your Form,I saw a tax rebate yesterday and now it has gone.,0.0
114,4,PTA PERTAX,It is easy to access,0.0
115,5,PTA Repayments,"Recieved comms via email- asking me to log into the  secure portal. this was good as the email did not contain any links , so i was happy to trust.",0.0
116,5,PTA Repayments,because i was very happy with the service,0.0
117,5,PTA PERTAX,Instructions are clear and logical,0.0
118,5,PTA Check Your State Pension,Easy instructions to follow,0.0
119,3,PTA Check Income Tax,"Where is refund option? I could not find it, but I received the HMRC letter mentioned I can do it.",0.0
120,5,PTA Check Your State Pension,Easy straightforward site,0.0
121,1,PTA Track Your Form,I am unable to query a tax refund that I have not received.,0.0
122,1,PTA Check Income Tax,Trying to see previous years tax relief for working from home but cannot see it anywhere,0.0
123,5,PTA PERTAX,Simple once you have your login details,0.0
124,5,PTA PERTAX,"easy to use service, quick and reliable",0.0
125,2,PTA PERTAX,I wanted to check how I could claim a tax refund for the previous tax year.,0.0
126,5,PTA Check Income Tax,Super quick process for claiming my tax refund - very impressed.,0.0
127,4,PTA Check Your State Pension,Always find it difficult to locate the login screen. Once I am signed in it is quite easy to use.,0.0
128,5,PTA Repayments,It was a very straightforward process.,0.0
129,1,PTA PERTAX,I WANT TO SEND ATTACHED DOCUMENT TO HMRC AND I WAS UNABLE TO SEND IT. THIS IS MAKES THINGS VERY DIFFICULT. I SHOULD BE ABLE TO GO INTO MESSAGE TAB AND SEND MESSAGES,0.0
130,5,PTA Repayments,"Always very efficient and fast. PLEASE, DONT EVER CHANGE!!!
Yours sincerely.
Victoria.",0.0
131,4,PTA Check Your State Pension,Would be useful at start of process to know to have ready 2 ID items and details of items needed. During process it appeared only 1 item eg driving licence needed and then asked for passport too.,0.0
132,5,PTA Check Your State Pension,I am not confident on a computer butI found it very easy to achieve my refund,0.0
133,3,PTA Check Your State Pension,I was trying to view my workplace pension,0.0
134,1,PTA PERTAX,because I have had an ongoing tax issue since the end of last year and now cant see any information about this.  I have had no updated information at all,0.0
135,3,PTA Check Income Tax,Had trouble getting logged in.,0.0
136,5,PTA Check Income Tax,all relevant sections clearly signposted,0.0
137,4,PTA PERTAX,I thought I owed tax but could not find that on my Gateway account. Can you direct me to find out if I owe tax?,0.0
138,5,PTA Check Your State Pension,Really easy service to use.  My stakeholder pension signposted me to check - it has provided peace of mind.,0.0
139,5,PTA PERTAX,Because it is a straightforward system to access with a simple process,0.0
140,5,PTA PERTAX,"Once I was able to login, the pages were easy to navigate. Thank you",0.0
141,4,PTA Trusted Helper,Logging in for the first time is difficult. using the system once logged in was relatively easy. it did not however allow me to claim back money from previous years despite retaining that information.,0.0
142,5,PTA Check Income Tax,Found exactly what I wanted straight away,0.0
143,5,PTA Check Your State Pension,Just checking missed in years and found it easy,0.0
144,5,PTA Check Your State Pension,All works seemlesly,0.0
145,4,PTA Repayments,It was straight forward by just answering the questions,0.0
146,4,PTA Check Your State Pension,Very clear instructions to follow,0.0
147,5,PTA Repayments,Excellent instructions but fiddley with scanning documents.,0.0
148,5,PTA PERTAX,It was easy to follow.,0.0
149,5,PTA Repayments,"It was very east to complete, thank you!",0.0
150,4,PTA PERTAX,Checked state pension forecast,0.0
151,2,PTA PERTAX,i could not check the status of my tax rebate,0.0
152,4,PTA Repayments,"It was fairly easy as I already had a Gateway account. 
All of the questions asked were easy to comprehend and answer.",0.0
153,2,PTA PERTAX,"I do not understand why my tax estimate for FY 23/24 contains PAYE details for [REMOVED].  They were my last employer.  I stopped work in June 2004.  However, there is no facility on the website to raise a query.",1.0
154,4,PTA Check Your State Pension,J just wanted to check my NI contributions record & that was easy to do.  It is very useful to be able to print the record out.,0.0
155,3,PTA Repayments,A very long winded procedure.,0.0
156,5,PTA PERTAX,Simple process. Simple questions.,0.0
157,5,PTA Check Your State Pension,Got what I needed,0.0
158,5,PTA PERTAX,"I'm not very computer savvy yet your website is really helpful, straightforward and easy to use.  All websites should be like this :)",0.0
159,4,PTA Track Your Form,"Waiting for tax refund check, needed to change postal address and I have moved home 2 days after requesting the refund. It was quick and easy. I originally thought my refund was being put into my account directly, however an automatic promt/tip said that tax refund checks can take upto 3 weeks, promoting me to update. Thanks.",0.0
160,5,PTA Tax Credits Renewals,easy to read although i did see a few spelling mistakes,0.0
161,5,PTA PERTAX,It is very easy to use with clear instructions and very user friendly.,0.0
162,5,PTA Check Your State Pension,I wanted to check my pension forecast- which was easy to navigate to. Super website!,0.0
163,5,PTA P800,So quick and easy to use,0.0
164,5,PTA Repayments,SImple matter to see and check the accompanying tax calculation and request the repayment.,0.0
165,4,PTA Track Your Form,It took me a while to find what I needed.,0.0
166,2,PTA Check Your State Pension,I wanted to make a voluntary NI contribution for the year 2022-2023 but I could not do this as the website said that my NI record for that year was not available yet.  There was no indication of when my NI record for that year  would be available so I don't know when to try again.  There should be an indication of when this record will be available because then I would know when to check back in.,0.0
167,2,PTA PERTAX,I couldn't find a way to register for self employed in the circumstance where I am already registered for self assessment - very confusing kept going round in circles.,0.0
168,5,PTA PERTAX,Just no problems,0.0
169,1,PTA Check Your State Pension,I am due my state pension in October 2023 but the statement estimate is not up to date. It has not taken into account my contributions up to April 2023.,0.0
170,5,PTA P800,ease of use,0.0
171,4,PTA Check Your State Pension,Clear and simple instructions,0.0
172,4,PTA Check Income Tax,I did have to login again when I selected the PYE details. I had not clicked off the page or browser app so thought this was strange.,0.0
173,5,PTA P800,The instructions were very clear and easy to follow.,0.0
174,1,PTA Check Income Tax,Went on to claim tax refund and was unable to...,0.0
175,3,PTA PERTAX,Wanted to view my tax code for historical self assessments.,0.0
176,3,PTA Check Income Tax,"I am in an area where mobile phone reception is very poor, so receiving access codes by phone or text is difficult. Emails work much better as it is hard wired",0.0
177,4,PTA PERTAX,"The logging in was okay, not exceptional and not poor.  Thank you",0.0
178,5,PTA Repayments,I have an expired passport since 2019 the system wouldnt let me add this as it had to be todays date or in the future,0.0
179,4,PTA Check Income Tax,Easy to understand and follow,0.0
180,4,PTA Check Your State Pension,Although my pension forecast was easy to generate. The system would not allow me to copy and paste the information to an email  or document.,0.0
181,4,PTA PERTAX,I found what i wanted quite quickly,0.0
182,5,PTA PERTAX,SITE EASY TO NAVIGATE AND INSTRUCTIONS CLEAR,0.0
183,1,PTA PERTAX,Because my gateway account has not worked for 6+ months.,0.0
184,4,PTA Check Your State Pension,"tells you what you need, as long as you have info, all good",0.0
185,4,PTA Repayments,"The difficulty for me was setting up the account in the first instance. I thought I already had an account with my username however this could not be found. I am disappointed with this service as yesterday I tried to register my mother (a UK born citizen who has lived in this country for all her 76 years) yet she did not have the ""right ID"". I have written to my MP about this service which should be here to help us not create barriers.",0.0
186,4,PTA Repayments,I had all the information readily to hand.,0.0
187,4,PTA Check Income Tax,My query was answered but not really explained.,0.0
188,5,PTA PERTAX,extremely efficient online service - thank you,0.0
189,5,PTA P800,Simple and straightforward.,0.0
190,4,PTA Check Income Tax,After one miss direction found information I required,0.0
191,5,PTA Check Your State Pension,Website is easy to use,0.0
192,4,PTA Check Your State Pension,Only having smart phone means text is small,0.0
193,2,PTA Check Your State Pension,"It was difficult to get back to the pension information I needed after leaving the page. There is no direct link. There is no search function. I needed to go ""home"" then answer a survey before I could find the page again.",0.0
194,5,PTA PERTAX,Very simple instructions and few steps,0.0
195,5,PTA Repayments,Everything clearly signposted and processes fast and easy,0.0
196,4,PTA Repayments,Lots of steps to get started but straightforward once logged in,0.0
197,3,PTA Check Your State Pension,I understood that I was fully paid up having made payments that don't seem to have been applied.,0.0
198,5,PTA Repayments,"Very well guided in each step, what was needed to do.",0.0
199,5,PTA PERTAX,Quick and easy.,0.0
200,2,PTA Tax Credits Service,it has just confused me even more,0.0
201,5,PTA P800,"Very easy clear instructions as to what I needed to do, Excellent",0.0
202,4,PTA PERTAX,Website is easy to navigate and explanations are simple,0.0
203,4,PTA Repayments,Straight forward to follow,0.0
204,1,PTA PERTAX,"because i am trying to get my wifes account but i am unable to find on it on here or even on here site,",0.0
205,5,PTA Repayments,information is clear to understand and follow,0.0
206,3,PTA PERTAX,"the way the option are set out, its like going hunting without a rifle... pointless.",0.0
207,5,PTA Check Your State Pension,Self explanatory easy to follow instructions,0.0
208,5,PTA Tax Credits Renewals,Because all i need to do is answer the questions. it makes the whole thing very easy,0.0
209,2,PTA PERTAX,Because I can't find what I'm looking for.,0.0
210,4,PTA Check Income Tax,The information required was all easy to access.,0.0
211,5,PTA Check Your State Pension,Very easy process to navigate within the various sections to obtain the information required.,0.0
212,3,PTA PERTAX,I struggled navigate the pages,0.0
213,5,PTA PERTAX,"Web site was easy to navigate, instructions clear and unambiguous.",0.0
214,5,PTA Check Your State Pension,It was very helpful,0.0
215,5,PTA Check Your State Pension,pretty easy to use. just take your time,0.0
216,4,PTA Repayments,App worked well,0.0
217,1,PTA PERTAX,The information had not been updated by you.,0.0
218,5,PTA PERTAX,Easy to navigate.,0.0
219,5,PTA PERTAX,No problems following the instructiions,0.0
220,5,PTA Repayments,EASY SYSTEM TO USE,0.0
221,5,PTA Check Your State Pension,"Having set up my gateway account earlier that required having access to documents for ID verification, this was an easy and secure way to check state pension and NI record with details provided in an easy to understand manner.",0.0
222,5,PTA Repayments,The instructions were clear at each stage. The process did not take long to complete,0.0
223,2,PTA PERTAX,Can't see the status of my tax refund that HMRC issued.,0.0
224,5,PTA PERTAX,"I needed to pay my tax, and once I was in my account, I found the task simple and straight forewrd.",0.0
225,5,PTA Check Income Tax,I understood the layout and flow of information,0.0
226,5,PTA PERTAX,I followed the instructions which is user friendly,0.0
227,3,PTA Repayments,Lot of info needed,0.0
228,5,PTA Track Your Form,Very simple to use,0.0
229,5,PTA Repayments,Simple to use no hassle to login.,0.0
230,5,PTA Check Your State Pension,"You notified me I had a tax refund, I followed the instructions, and all appeared to work well.",0.0
231,1,PTA PERTAX,I wanted to see what tax amounts I've paid & when and also how much tax I have outstanding to pay & when. As far as I can see this does not appear to be possible within this app?,0.0
232,3,PTA Track Your Form,it does not tell my why or how I owe this amount.,0.0
233,4,PTA Check Your State Pension,easy when you have info at hand,0.0
234,5,PTA Repayments,very simple and clear system,0.0
235,5,PTA Repayments,I found it very easy and clear to follow the instructions,0.0
236,4,PTA PERTAX,Entering data was straightforward.,0.0
237,5,PTA Repayments,It was very quick and easy to do.,0.0
238,5,PTA Repayments,"The process was well explained, and although I'd forgotten my password and needed to reset, this was dealt with by automated response immediately.",0.0
239,4,PTA PERTAX,Working on it,0.0
240,3,PTA PERTAX,Trying to follow up a letter I sent in February 2023 and have still not received a reply. Website says letter received but not actioned yet. It appears that I may have to ring to chase this up - no option to prompt action on the website.,0.0
241,5,PTA Repayments,it only take 5mis to do,0.0
242,5,PTA PERTAX,Clear instructions. Being able to manage finances online makes things quicker.,0.0
243,5,PTA Check Income Tax,Simple instructions and easy to create and account and request a refund,0.0
244,4,PTA Check Your State Pension,"I had forgotten my ID number and password, so had to go through the full security process. Was very user friendly and fast.",0.0
245,5,PTA Check Your State Pension,Tax query resolved,0.0
246,4,PTA Check Your State Pension,Trying to work out what I need to pay to top up NI contributions to maximise state pension. Contact arrangements not great.,0.0
247,5,PTA Check Your State Pension,The site is easy to use and understand.,0.0
248,5,PTA PERTAX,Very quick and simple,0.0
249,1,PTA Trusted Helper,My tax codes are wrong but the explanations do not help. My address is showing incorrectly despite having spoken to the tax office previously to update it. Have corrected this but annoying. No option to contact you about my tax affairs online. I do not like phoning as I cannot understand what is being said about tax matters.,0.0
250,5,PTA Repayments,Clear information and instructions provided. Very easy to request refund due.,0.0
251,5,PTA PERTAX,Covering page with options was very clear and took me straight to the information I required.,0.0
252,4,PTA Check Income Tax,Was informed by email about tax account details. Like advice to sign in to account and not having link.,0.0
253,4,PTA Check Income Tax,Was able to put correct figures in for pension income within a few key presses,0.0
254,5,PTA Check Your State Pension,FOUND WHAT I WANTED,0.0
255,3,PTA PERTAX,I CANT REMEMBER THE EXACT DATE I started living at my address,0.0
256,5,PTA PERTAX,Very easy to find my messages and very easy to find how to action what I needed,0.0
257,5,PTA Check Income Tax,Clear  directions to the area I needed,0.0
258,5,PTA Check Your State Pension,Easy to follow instructions,0.0
259,5,PTA Repayments,I was able to complete the job easily with no issues. There was the correct amount of security.,0.0
260,4,PTA Track Your Form,The ID authentication was not possible using my Android 8 smartphone.  I had to ask a friend whose phone runs on Android 12 to do the scanning for me.,0.0
261,5,PTA Check Income Tax,Quick and straight forward,0.0
262,1,PTA PERTAX,understanding working tax and Child tax,0.0
263,5,PTA Repayments,IT WAS A VERY STRAIGHTFORWARD PROCESS.,0.0
264,4,PTA Check Your State Pension,"Having gone through this process before, I found it easy to do it again.",0.0
265,5,PTA Repayments,easy to use.,0.0
266,4,PTA Check Income Tax,Biometrics didnt work.,0.0
267,3,PTA Check Income Tax,Trying to claim a tax refund but have no message showing the amount owed to me nor the box option to claim a refund.,0.0
268,1,PTA PERTAX,I could not find or track my tax refund claim.,0.0
269,4,PTA Repayments,Simple and efficient. Many thanks for making it easy.,0.0
270,4,PTA PERTAX,I FOUND IT MOST DIFICULT. I WOULD PREFER TO FILL ON PAPER,0.0
271,4,PTA PERTAX,Easy to understand,0.0
272,3,PTA PERTAX,i was looking for allowances to be included but they weren't. i'll now look elsewhere,0.0
273,5,PTA Check Your State Pension,Very well organised site easy to navigate,0.0
274,5,PTA PERTAX,Because its explained very good,0.0
275,5,PTA PERTAX,It was easy to use the online site.,0.0
276,5,PTA Repayments,"Fool proof, I'm useless on a computer however, this was so simple.",0.0
277,1,PTA Check Your State Pension,"It was impossible to Log in on MHRC App on iPhone...
The site is Terrible - Nightmare...
The content is not provided in a logical format with all the necessary information laid out with a logical option tree. It is impossible to find the information one is looking for, and one is bombarded with irrelevant and useless ancilliary information.
Has no-one actually tested the usability? No... No-[REMOVED]!!!!",1.0
278,5,PTA PERTAX,Using for first time,0.0
279,1,PTA PERTAX,I've had a really high income assessment because my pension providers have changed.  Really not sure if this has been corrected....,0.0
280,4,PTA Check Your State Pension,Coming to the correct sub-pages was difficult.  More detailed and precise search options would be helpful.,0.0
281,4,PTA Check Your State Pension,"Lengthy process, agree it was necessary but only wanted a single piece of information.",0.0
282,2,PTA P800,"Was sent letter informing me i was entitled to refund of 282 . Having logged on site informs me thatihave paid correct amount of tax of 1148.
When in fact I paid 13337 tax last year",0.0
283,5,PTA Repayments,Very user friendly site,0.0
284,3,PTA Check Income Tax,I was trying to find out if I was due a tax rebate for year 2022-23 but couldn't find that info.,0.0
285,4,PTA Repayments,"Took me a while had to make two attempts, not something you can do in a hurry.",0.0
286,4,PTA PERTAX,Website easy to use.,0.0
287,1,PTA PERTAX,"Too many things to do which do not work properly, technically challenging",0.0
288,3,PTA PERTAX,"Using is and password was straight forward 
Just info not there yet",0.0
289,5,PTA Repayments,I already had a [REMOVED] ID set up.  Without this it may have been more cumbersome,1.0
290,5,PTA Repayments,easy to do,0.0
291,4,PTA PERTAX,"ABLE TO COMPLETE IN UNDER 20 MINUTES THE RE-REGISTRATION PROCESS.  MANY YEARS SINCE I USED THE GATEWAY- THAT WAS MAINLY FOR SELF-ASSESSMENT.
THANKS
JOHN",0.0
292,4,PTA PERTAX,"Very simple and logical, with supportive information",0.0
293,5,PTA Repayments,Because I followed the instructions and have achieved my aim,0.0
294,3,PTA Track Your Form,I want to file my 22/23 returns and I am not being allowed to start the process,0.0
295,5,PTA P800,Easy to claim,0.0
296,5,PTA Repayments,everything was clear and precise,0.0
297,1,PTA PERTAX,"I need to see what agents are working on my account, I believe I can claim back tax for PPI I had refunded by Lloyds bank, I have an agent called Brooksdale working on this, a lady from Broolsdale has told me they dont take any fees, I see on line they do so I want to stop them, I do not want to pay any company large amounts of my money. 
In all fairness I am not very good with modern technology.",0.0
298,5,PTA PERTAX,Straightforward to use.,0.0
299,4,PTA Check Your State Pension,To help the DevOps team understand how users perceive the functionality and efficiency of the website.,0.0
300,5,PTA Repayments,Because i found it very easy to asses and not time consuming.,0.0
301,5,PTA Check Income Tax,very simple and easy. straight forward understandably questions,0.0
302,5,PTA PERTAX,Simply asked questions easy to comply with.,0.0
303,4,PTA PERTAX,It took more than one trial  to do what I needed to do,0.0
304,5,PTA Check Your State Pension,Leave as it is.,0.0
305,4,PTA Check Your State Pension,"found out info i needed, not able to update online - i need to call a phone number",0.0
306,4,PTA Repayments,two factor id is annoying. Had to sign up for my account first which is a troublesome process.,0.0
307,5,PTA PERTAX,Found what I needed to look at easily,0.0
308,3,PTA Check Income Tax,"i simply needed to know why i am paying tax when I don't earn enough , i do have 2 part time jobs but between them I still should'nt be paying tax, just wondering when this money will be returned to me.",0.0
309,3,PTA PERTAX,Waiting for confirmation of my message being sent to HMRC.,0.0
310,5,PTA Check Income Tax,Simply asked questions easy to understand,0.0
311,4,PTA PERTAX,Too much switching between apps etc,0.0
312,5,PTA Company Car Benefit,Easy to use and guides you to how to find information if you dont happen to know the answers to the questions,0.0
313,4,PTA Repayments,Easy to use.,0.0
314,5,PTA Repayments,All information required was easily found and entered,0.0
315,2,PTA Check Income Tax,"I want to change my amount of interest I will receive this year as rates have risen, but unable to find it within PAYE summary, so unable change it. Not sure if it classifies as non coded income. Will try phoning HMRC instead.",0.0
316,5,PTA Repayments,Quick simple efficient to use. thank you,0.0
317,4,PTA Repayments,"Usual thing:  computer is upstairs, mobile phone is downstairs, ""we've sent you a one-time pass code..."".  Hey-ho...",0.0
318,4,PTA Check Your State Pension,Finally someone at management level is competent.,0.0
319,5,PTA Repayments,Followed each step carefully. No problems.,0.0
320,1,PTA Track Your Form,no update to my query,0.0
321,4,PTA Repayments,"It would have been very easy if I didnt have to enter information at the start of the process, thinking I was starting my claim, only to be told I was eligible to make a claim, which I already knew as I had been sent a letter.  I find government websites very longwinded to get to the point where I need to be and inputting information that I dont need to at the start is very frustrating.  Its like when you call an organisation, explain what you want then get passed to another person and have to explain all over again!",0.0
322,5,PTA PERTAX,every thing very clearly explained,0.0
323,2,PTA Check Income Tax,"A letter received by myself contradicts what it says online. I do not earn enough to pay tax and paid over 200 last month, this affects me being able to pay the mortgage and eat !",0.0
324,4,PTA PERTAX,"I had to look up my bank details which I thought you already had, apart from that it was simple enough - although, having to renter my address was a bit of a faff, as you definitely already have this.",0.0
325,1,PTA PERTAX,No link/ or obvious link/ form within my self assessment account to confirm stopping self assessment and to leave a message.,0.0
326,5,PTA PERTAX,Very easy to use very people friendly,0.0
327,3,PTA PERTAX,"Had an email regarding tax code change 6 days ago, but no message available. (Most unusual: I generally find this website/functionality 100% positive).",0.0
328,4,PTA PERTAX,"I was registering for self assessment. It was easy when I got to where I needed to be but it wasn't very easy finding where to do this. The button I needed to click was ""add a tax, duty or ..."" and it would have been easier if there was a button for ""Register for self-assessment. Thank you!",0.0
329,1,PTA PERTAX,"The form keeps get rejected without explanation, in this day and age I would expect a better form that was more intelligent to errors or omissions",0.0
330,5,PTA Repayments,Completed what I needed to do in one trial.,0.0
331,5,PTA Check Your State Pension,I have used this site quite often recently as am due to reach retirement age soon and it has been very easy to use,0.0
